,main_section,section_name,sub_section_name,is_relevant,is_include
48,Progress Note,Progress Quick Note,ROS,Yes,Yes
49,Progress Note,Progress Quick Note,Review ofsymptom,Yes,Yes
50,Progress Note,Progress Quick Note,Review of Systems/Medical History,Yes,Yes
51,Progress Note,Progress Quick Note,Review of Systems,Yes,Yes
52,Progress Note,Progress Quick Note,Results Review,Yes,Yes
53,Progress Note,Progress Quick Note,Results,No,Yes
54,Progress Note,Progress Quick Note,Respiratory Plan/Comments,Yes,Yes
55,Progress Note,Progress Quick Note,RELEVANT MEDS / DIET ORDERS,Yes,Yes
56,Progress Note,Progress Quick Note,Recommendation:,Yes,Yes
57,Progress Note,Progress Quick Note,Recent Labs,No,Yes
58,Progress Note,Progress Quick Note,Reason for Visit:,Yes,Yes
59,Progress Note,Progress Quick Note,Reason for ICU Admission/ Perioperative Course,Yes,Yes
60,Progress Note,Progress Quick Note,Reason for Hospitalization,Yes,Yes
61,Progress Note,Progress Quick Note,Reason for Continued Hospitalization,Yes,Yes
62,Progress Note,Progress Quick Note,Reason for Admission,Yes,Yes
63,Progress Note,Progress Quick Note,RADIOLOGY REPORTS,Yes,Yes
64,Progress Note,Progress Quick Note,Radiology data,No,Yes
65,Progress Note,Progress Quick Note,Radiology,Yes,Yes
66,Progress Note,Progress Quick Note,Quality Improvement,Yes,Yes
67,Progress Note,Progress Quick Note,Pulmonology Progress Note,Yes,Yes
68,Progress Note,Progress Quick Note,Professional Services,Yes,Yes
69,Progress Note,Progress Quick Note,PROCEDURES PERFORMED,Yes,Yes
70,Progress Note,Progress Quick Note,Procedures & Date,Yes,Yes
71,Progress Note,Progress Quick Note,Procedure/Surgical History,Yes,Yes
72,Progress Note,Progress Quick Note,Procedure/operative data,Yes,Yes
73,Progress Note,Progress Quick Note,Problems/Assessments/Plan,Yes,Yes
74,Progress Note,Progress Quick Note,Problems,Yes,Yes
75,Progress Note,Progress Quick Note,Problem list:,Yes,Yes
76,Progress Note,Progress Quick Note,PROBLEM LIST PLAN:,Yes,Yes
77,Progress Note,Progress Quick Note,PROBLEM LIST PLAN,Yes,Yes
78,Progress Note,Progress Quick Note,Problem list,Yes,Yes
79,Progress Note,Progress Quick Note,Prior Functional Level Grid,Yes,Yes
80,Progress Note,Progress Quick Note,Primary Surgeon,Yes,Yes
81,Progress Note,Progress Quick Note,Primary Pain,Yes,Yes
82,Progress Note,Progress Quick Note,Prgblem List/Past Medical History,Yes,Yes
83,Progress Note,Progress Quick Note,Prgbiem List/Past Medical History,Yes,Yes
84,Progress Note,Progress Quick Note,Pre-operative Diagnosis,Yes,Yes
85,Progress Note,Progress Quick Note,Post-operative Diagnosis,Yes,Yes
86,Progress Note,Progress Quick Note,PN - Pharmacy,Yes,Yes
87,Progress Note,Progress Quick Note,PMH/PSH,Yes,Yes
88,Progress Note,Progress Quick Note,PMH,Yes,Yes
89,Progress Note,Progress Quick Note,Plan/summary,Yes,Yes
90,Progress Note,Progress Quick Note,Plan/Recommendations,Yes,Yes
91,Progress Note,Progress Quick Note,Plan Review,Yes,Yes
92,Progress Note,Progress Quick Note,Plan of Care,Yes,Yes
93,Progress Note,Progress Quick Note,PLAN AND DISCUSSION,Yes,Yes
94,Progress Note,Progress Quick Note,Physician Information,Yes,Yes
95,Progress Note,Progress Quick Note,PHYSICIAN COVID ASSESSMENT,Yes,Yes
96,Progress Note,Progress Quick Note,Physical Exam/Objective,Yes,Yes
97,Progress Note,Progress Quick Note,PHISICAL EXAM,Yes,Yes
98,Progress Note,Progress Quick Note,perfusion record,Yes,Yes
99,Progress Note,Progress Quick Note,Patient Narrative,Yes,Yes
100,Progress Note,Progress Quick Note,Patient Information,Yes,Yes
101,Progress Note,Progress Quick Note,Patient Active Problem List,Yes,Yes
102,Progress Note,Progress Quick Note,PAST SURGICAL HISTORY,Yes,Yes
103,Progress Note,Progress Quick Note,Past Medical/Surgical/Family History,Yes,Yes
104,Progress Note,Progress Quick Note,PAST MEDICAL HISTORY,Yes,Yes
105,Progress Note,Progress Quick Note,Outpatient Medications,Yes,Yes
106,Progress Note,Progress Quick Note,Other Notes,Yes,Yes
107,Progress Note,Progress Quick Note,OT Pail ent/Famlly Goals,Yes,Yes
108,Progress Note,Progress Quick Note,ON Events,No,Yes
109,Progress Note,Progress Quick Note,OBJECTIVE/PHYSICAL EXAMINATION,Yes,Yes
110,Progress Note,Progress Quick Note,Objective/Exam,Yes,Yes
111,Progress Note,Progress Quick Note,Objective/ Exam,Yes,Yes
112,Progress Note,Progress Quick Note,Objective Data and Assessment,Yes,Yes
113,Progress Note,Progress Quick Note,Objective Data,Yes,Yes
114,Progress Note,Progress Quick Note,Objective,Yes,Yes
115,Progress Note,Progress Quick Note,O/E,Yes,Yes
116,Progress Note,Progress Quick Note,NUTRITION INTERVENTION,Yes,Yes
117,Progress Note,Progress Quick Note,Neurosurgery,Yes,Yes
118,Progress Note,Progress Quick Note,Neuro ICU Attending Note,Yes,Yes
119,Progress Note,Progress Quick Note,Neuro Exam,Yes,Yes
120,Progress Note,Progress Quick Note,Narrative,Yes,Yes
121,Progress Note,Progress Quick Note,Monitoring and Evaluation:,Yes,Yes
122,Progress Note,Progress Quick Note,Midlevel/Physician Attestation,Yes,Yes
123,Progress Note,Progress Quick Note,MICROBIOLOGY / PATHOLOGY,No,Yes
124,Progress Note,Progress Quick Note,Medications (36) Active,Yes,Yes
125,Progress Note,Progress Quick Note,Medications (33) Active,Yes,Yes
126,Progress Note,Progress Quick Note,Medications (32) Active,Yes,Yes
127,Progress Note,Progress Quick Note,Medication,Yes,Yes
128,Progress Note,Progress Quick Note,Medical History,Yes,Yes
129,Progress Note,Progress Quick Note,Lona Term PT Goals Grid,Yes,Yes
130,Progress Note,Progress Quick Note,Lona Term OT Goals Grid,Yes,Yes
131,Progress Note,Progress Quick Note,Lines/tubes/airways,Yes,Yes
132,Progress Note,Progress Quick Note,Lines/Drains/Tubes/Devices,Yes,Yes
133,Progress Note,Progress Quick Note,"Lines, Tubes and Drains",Yes,Yes
134,Progress Note,Progress Quick Note,Labs and Diagnostics,No,Yes
135,Progress Note,Progress Quick Note,LABORATORY STUDIES,Yes,Yes
136,Progress Note,Progress Quick Note,Laboratory Results,No,Yes
137,Progress Note,Progress Quick Note,LABORATORY EXAMINATION,No,Yes
138,Progress Note,Progress Quick Note,Laboratory Dat,Yes,Yes
139,Progress Note,Progress Quick Note,LABORATORIES,Yes,Yes
140,Progress Note,Progress Quick Note,Lab Review,Yes,Yes
141,Progress Note,Progress Quick Note,LAB RESULTS,No,Yes
142,Progress Note,Progress Quick Note,Lab Result Diagram,Yes,Yes
143,Progress Note,Progress Quick Note,Interventions offered during this visit,Yes,Yes
144,Progress Note,Progress Quick Note,Interventions,Yes,Yes
145,Progress Note,Progress Quick Note,INTERVENTIONAL CARDIOLOGY FOLLOW UP NOTE[,Yes,Yes
146,Progress Note,Progress Quick Note,Interval hx,Yes,Yes
147,Progress Note,Progress Quick Note,INTAKE/OUTPUT TOTALS,Yes,Yes
148,Progress Note,Progress Quick Note,Intake/Output,Yes,Yes
149,Progress Note,Progress Quick Note,Intake/Ouput,Yes,Yes
150,Progress Note,Progress Quick Note,Intake & Output 3 Day Summary,Yes,Yes
151,Progress Note,Progress Quick Note,INTAKE & OUTPUT,Yes,Yes
152,Progress Note,Progress Quick Note,Instructions to Medical Records,Yes,Yes
153,Progress Note,Progress Quick Note,Instructions,Yes,Yes
154,Progress Note,Progress Quick Note,INPUT/OUTPUT,Yes,Yes
155,Progress Note,Progress Quick Note,INPATIENT MEDICATIONS,Yes,Yes
156,Progress Note,Progress Quick Note,Indications for Surgery/Procedure,Yes,Yes
157,Progress Note,Progress Quick Note,Indication,Yes,Yes
158,Progress Note,Progress Quick Note,IMPRESSION,Yes,Yes
159,Progress Note,Progress Quick Note,Imaging studies,No,Yes
160,Progress Note,Progress Quick Note,Imaging and Cardiology,Yes,Yes
161,Progress Note,Progress Quick Note,IMAGING / STUDIES:,No,Yes
162,Progress Note,Progress Quick Note,Identified resources for coping,Yes,Yes
163,Progress Note,Progress Quick Note,HPI Summary,Yes,Yes
164,Progress Note,Progress Quick Note,HPI / Subjective,Yes,Yes
165,Progress Note,Progress Quick Note,HPI,Yes,Yes
166,Progress Note,Progress Quick Note,HOSPITALIST PROGRESS NOTE,Yes,Yes
167,Progress Note,Progress Quick Note,HOSPITAL COURSE: Th,Yes,Yes
168,Progress Note,Progress Quick Note,Hospital Course/Interval History,Yes,Yes
169,Progress Note,Progress Quick Note,Hospital Course,Yes,Yes
170,Progress Note,Progress Quick Note,Historyof PresentIllness,Yes,Yes
171,Progress Note,Progress Quick Note,HISTORY OF PRESENT ILLNESS: The p,Yes,Yes
172,Progress Note,Progress Quick Note,History of Present Illness:,Yes,Yes
173,Progress Note,Progress Quick Note,History of Present Illness/Subjective,Yes,Yes
174,Progress Note,Progress Quick Note,HISTORY OF PRESENT ILLNES,Yes,Yes
175,Progress Note,Progress Quick Note,History Obtained from chart,Yes,Yes
176,Progress Note,Progress Quick Note,HISTORY AND INDICATIONS FOR ADMISSION,Yes,Yes
177,Progress Note,Progress Quick Note,HISTORY AND INDICATION,Yes,Yes
178,Progress Note,Progress Quick Note,History - Adult longitudinal,Yes,Yes
179,Progress Note,Progress Quick Note,HEMODYNAMICS,Yes,Yes
180,Progress Note,Progress Quick Note,General Information,Yes,Yes
181,Progress Note,Progress Quick Note,General Info,Yes,Yes
182,Progress Note,Progress Quick Note,General,Yes,Yes
183,Progress Note,Progress Quick Note,Functional Mobility,Yes,Yes
184,Progress Note,Progress Quick Note,free Text Subj Notes,Yes,Yes
185,Progress Note,Progress Quick Note,Free Text A&P,Yes,Yes
186,Progress Note,Progress Quick Note,Food & Nutrient Delivery,Yes,Yes
187,Progress Note,Progress Quick Note,Findings,Yes,Yes
188,Progress Note,Progress Quick Note,FINAL IMPRESSION,Yes,Yes
189,Progress Note,Progress Quick Note,Family/Social History,Yes,Yes
190,Progress Note,Progress Quick Note,Family Updates,Yes,Yes
191,Progress Note,Progress Quick Note,FAMILY HISTORY,Yes,Yes
192,Progress Note,Progress Quick Note,Exams,Yes,Yes
193,Progress Note,Progress Quick Note,EXAMINATION,Yes,Yes
194,Progress Note,Progress Quick Note,Exam,Yes,Yes
195,Progress Note,Progress Quick Note,Estimated Blood Loss,Yes,Yes
196,Progress Note,Progress Quick Note,Education,Yes,Yes
197,Progress Note,Progress Quick Note,Documented Medications,Yes,Yes
198,Progress Note,Progress Quick Note,Discharge Planning Screen,Yes,Yes
199,Progress Note,Progress Quick Note,Discharge Medications,Yes,Yes
200,Progress Note,Progress Quick Note,Discharge Diagnoses,Yes,Yes
201,Progress Note,Progress Quick Note,Diet Orders,Yes,Yes
202,Progress Note,Progress Quick Note,Diagnostics - Non-Radiology - Last 36 hours (0),No,Yes
203,Progress Note,Progress Quick Note,Diagnostics - Non-Radiology,Yes,Yes
204,Progress Note,Progress Quick Note,DIAGNOSTIC STUDIES,Yes,Yes
205,Progress Note,Progress Quick Note,Diagnostic Results,Yes,Yes
206,Progress Note,Progress Quick Note,DIAGNOSTIC DATA,Yes,Yes
207,Progress Note,Progress Quick Note,"Diagnosis, Assessment & Plan",Yes,Yes
208,Progress Note,Progress Quick Note,Diagnoses,Yes,Yes
209,Progress Note,Progress Quick Note,Description of Findings,Yes,Yes
210,Progress Note,Progress Quick Note,DC Recommendations,Yes,Yes
211,Progress Note,Progress Quick Note,DATE OF SERVICE,Yes,Yes
212,Progress Note,Progress Quick Note,Data/Imaging,Yes,Yes
213,Progress Note,Progress Quick Note,Data Review,Yes,Yes
214,Progress Note,Progress Quick Note,DATA,Yes,Yes
215,Progress Note,Progress Quick Note,Daily subjective,Yes,Yes
216,Progress Note,Progress Quick Note,Daily plan,Yes,Yes
217,Progress Note,Progress Quick Note,DAILY EXAMINATION,Yes,Yes
218,Progress Note,Progress Quick Note,CURRENT VITAL SIGNS,Yes,Yes
219,Progress Note,Progress Quick Note,Current Respiratory Orders,Yes,Yes
220,Progress Note,Progress Quick Note,Current Medication:,Yes,Yes
221,Progress Note,Progress Quick Note,CURRENT MEDICATION,Yes,Yes
222,Progress Note,Progress Quick Note,CURRENT INPATIENT MEDICATION LIST,Yes,Yes
223,Progress Note,Progress Quick Note,Critical Care - PN: Subj,Yes,Yes
224,Progress Note,Progress Quick Note,Critical Care - PN: Exam,Yes,Yes
225,Progress Note,Progress Quick Note,Critical Care - Pit A/P,Yes,Yes
226,Progress Note,Progress Quick Note,COVID-19 Strategies Deployed,Yes,Yes
227,Progress Note,Progress Quick Note,Course / Events,Yes,Yes
228,Progress Note,Progress Quick Note,Continuous,Yes,Yes
229,Progress Note,Progress Quick Note,Consultants:,Yes,Yes
230,Progress Note,Progress Quick Note,CONSULT REASON,Yes,Yes
231,Progress Note,Progress Quick Note,CONCLUSIONS SUMMARY,Yes,Yes
232,Progress Note,Progress Quick Note,Complications,Yes,Yes
233,Progress Note,Progress Quick Note,Completed Action List:,Yes,Yes
234,Progress Note,Progress Quick Note,Completed Action List,Yes,Yes
235,Progress Note,Progress Quick Note,Completed Action Lid,Yes,Yes
236,Progress Note,Progress Quick Note,Clinical Discussion,Yes,Yes
237,Progress Note,Progress Quick Note,Clinical Data,Yes,Yes
238,Progress Note,Progress Quick Note,Chief complaint on admission,Yes,Yes
239,Progress Note,Progress Quick Note,CARDIAC CATHETERIZATION REPORT,Yes,Yes
240,Progress Note,Progress Quick Note,Capsule Summary,No,Yes
241,Progress Note,Progress Quick Note,Brief history review,Yes,Yes
242,Progress Note,Progress Quick Note,Brief History,Yes,Yes
243,Progress Note,Progress Quick Note,Brief historical review,Yes,Yes
244,Progress Note,Progress Quick Note,BASIC INFO,No,Yes
245,Progress Note,Progress Quick Note,Attending physician attestation,Yes,Yes
246,Progress Note,Progress Quick Note,ATTENDING ATTESTATION,No,Yes
247,Progress Note,Progress Quick Note,ASSESSMENT:,Yes,Yes
248,Progress Note,Progress Quick Note,Assessment/Rec,Yes,Yes
249,Progress Note,Progress Quick Note,ASSESSMENT/PROBLEM LIST,Yes,Yes
250,Progress Note,Progress Quick Note,Assessment/Plan/Recommendations:,Yes,Yes
251,Progress Note,Progress Quick Note,Assessment & Recommendations,Yes,Yes
252,Progress Note,Progress Quick Note,Art Line,Yes,Yes
253,Progress Note,Progress Quick Note,Anti-Coagulant Medications,Yes,Yes
254,Progress Note,Progress Quick Note,ANTICIPATED DISPOSITION PLANNING,Yes,Yes
255,Progress Note,Progress Quick Note,Anesthesia Pre-Evaluation,Yes,Yes
256,Progress Note,Progress Quick Note,Ambulation Rehab Grid,Yes,Yes
257,Progress Note,Progress Quick Note,Allergies:,Yes,Yes
258,Progress Note,Progress Quick Note,Allergies/Intolerances,Yes,Yes
259,Progress Note,Progress Quick Note,Allergies/Intolerance,Yes,Yes
260,Progress Note,Progress Quick Note,Allergeis,Yes,Yes
261,Progress Note,Progress Quick Note,Advance Directives,Yes,Yes
262,Progress Note,Progress Quick Note,Addendum,No,Yes
263,Progress Note,Progress Quick Note,Acute Problems,Yes,Yes
264,Progress Note,Progress Quick Note,Active problems,Yes,Yes
265,Progress Note,Progress Quick Note,Active Medications,Yes,Yes
266,Progress Note,Progress Quick Note,ABG results,No,Yes
267,Progress Note,Progress Quick Note,A/P,Yes,Yes
268,Progress Note,Progress Quick Note,A&P Subsequent,Yes,Yes
269,Progress Note,Progress Quick Note,24Hour Summary,Yes,Yes
270,Progress Note,Progress Quick Note,24 HR EVENTS/SUBJECTIVE,Yes,Yes
271,Progress Note,Progress Quick Note,24 Hour Summary,Yes,Yes
272,Progress Note,Progress Notes:,Cardiac Testing,No,Yes
273,Progress Note,PROGRESS NOTES (Continued),Review / Management,Yes,Yes
274,Progress Note,Progress Notes - Nursing,Diagnosis,Yes,Yes
275,Progress Note,Progress Notes,Subjective ,Yes,Yes
276,Progress Note,Progress Notes,MEDICATIONS,Yes,Yes
277,Progress Note,Progress Note-Medical Provider,Basic Information,Yes,Yes
278,Progress Note,Progress Note - Surgical-Neurosurgery,Diagnostics,Yes,Yes
279,Progress Note,Progress Note - Medical .- Internal Medicine,Laboratory Data:,Yes,Yes
280,Progress Note,Progress Note - Generic,PLAN,Yes,Yes
281,Progress Note,Progress Note,Physical Examination,Yes,Yes
282,OPERATIVE REPORT,Procedures - Surgical/Procedural Notes,Operation/Procedure Performed,Yes,Yes
283,OPERATIVE REPORT,Procedure report,Indication for Surgery,Yes,Yes
284,OPERATIVE REPORT,Procedure Notes,DATE OF SERVICE,Yes,Yes
285, PREOPERATIVE EVAluation -Anesthesia,Procedure Note - Anesthesia,Home Medications / Respiratory Treatment,Yes,Yes
286,OPERATIVE REPORT,procedure note,Instructions to Medical Records,Yes,Yes
287,OPERATIVE REPORT,PROCEDURE - Encounter Notes,PROCEDURES,Yes,Yes
288,OPERATIVE REPORT,Preprocedure Note,RESULTS OF INTERVENTION,Yes,Yes
289,OPERATIVE REPORT,Preoperative Orders — Cardio- Vascular/ Thoracic Procedures,TYPE OF ANESTHESIA ADMINISTERED,Yes,Yes
290,OPERATIVE REPORT,PREOPERATIVE EVAluation -Anesthesia,Date of Procedure,Yes,Yes
291, PREOPERATIVE EVAluation -Anesthesia,PREOPERATIVE EVAluation -Anesthesia,Hospital Medications,Yes,Yes
292,OPERATIVE REPORT,PRE-OP/OSU ASSESSMENTS,Procedure(s),Yes,Yes
293,OPERATIVE REPORT,PRE-OP ASSESSMENTS,OPENING OF THE POSTERIOR WOUND,Yes,Yes
294, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Medical History,Yes,Yes
295, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Surgical History,Yes,Yes
296, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Additional Historw/ROS,Yes,Yes
297, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Date/Time procedure performed,Yes,Yes
298, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Location,Yes,Yes
299, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Pre-Procedure Diagnosis/Indication,Yes,Yes
300, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Post-ProcedureDiagnosis,Yes,Yes
301, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Performing Clinician,Yes,Yes
302, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Anesthesia Sedation Assessment,Yes,Yes
303, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Arterial Line Insertion,Yes,Yes
304, PREOPERATIVE EVAluation -Anesthesia,Pre and Post Anesthesia Evaluation,Procedure Findings,Yes,Yes
305,Progress Note,POST-PROCEDURAL PROGRESS NOTES,I/O,Yes,Yes
306,OPERATIVE REPORT,POST-OPERATIVE PROGRESS NOTES,DESCRIPTION OF PROCEDUR,Yes,Yes
307,Progress Note,POST-OPERATIVE PROGRESS NOTES,OBJECTIVE - MEDICINE,Yes,Yes
308,OPERATIVE REPORT,POST-OPERATIVE NOTES,ANTERIOR OPERATION,Yes,Yes
309,OPERATIVE REPORT,POST OP NOTE,POSTERIOR OPERATION,Yes,Yes
310,Progress Note,PLASTIC SURGERY PROGRESS NOTE,Pathology result,Yes,Yes
311,Progress Note,Physician Progress Notes,Health Status,Yes,Yes
312,Discharge Summary,Physician Discharge Summary,Discharge Instructions,Yes,Yes
313,OPERATIVE REPORT,PERMANENT MEDICAL RECORD COPY,PLACEMENT OF THE PEDICLE SCREW INSTRUMENTATION,Yes,Yes
314,OPERATIVE REPORT,Perioperative Record,COMPLICATIONS,Yes,Yes
315,OPERATIVE REPORT,Perioperative Nursing Note - Encounter Notes,SPECIMEN(S) REMOVED,Yes,Yes
316,OPERATIVE REPORT,Perioperative Documentation,Consent,Yes,Yes
317,OPERATIVE REPORT,Perioperative Documentation,Description of Procedure(s),Yes,Yes
318,OPERATIVE REPORT,Patient Fluoroscopy Radiation Dose Information,Findings,Yes,Yes
319,Discharge Summary,Patient Discharge Instructions,Review / Management,Yes,Yes
320,CONSULTATION REPORT,Palliative Medicine Consult,lab results,Yes,Yes
321,Progress Note,Otolaryngology Daily Progress Not,LABS,Yes,Yes
322,OPERATIVE REPORT,Other Procedures,INDICATION,Yes,Yes
323,OPERATIVE REPORT,Orthopedics Operative Note,Reason for Procedure,Yes,Yes
324,Progress Note,Orthopaedic Progress Note,Chief complaint Description,Yes,Yes
325,OPERATIVE REPORT,Operative/Procedure Reports,Patient Condition,Yes,Yes
326,OPERATIVE REPORT,Operative/procedure note,ESTIMATED BLOOD LOSS,Yes,Yes
327,OPERATIVE REPORT,Operative Report Proc. Note,BRIEF HISTORY,Yes,Yes
328,OPERATIVE REPORT,Operative Report Note,Addendum,Yes,Yes
329,OPERATIVE REPORT,OPERATIVE REPORT,PREOPERATIVE DIAGNOSIS,Yes,Yes
330,OPERATIVE REPORT,Operative procedure,procedure,Yes,Yes
331,OPERATIVE REPORT,Operative procedure,IMPRESSION,Yes,Yes
332,OPERATIVE REPORT,Operative Procedure,Operation,Yes,Yes
333,OPERATIVE REPORT,Operative Procedure,ecommendation,Yes,Yes
334,OPERATIVE REPORT,Operative Procedure,Assistant,Yes,Yes
335,OPERATIVE REPORT,Operative Procedure,postoperative plan,Yes,Yes
336,OPERATIVE REPORT,Operative Procedure,Pre-procedure diagnosis,Yes,Yes
337,OPERATIVE REPORT,Operative Procedure,Post-procedure diagnosis,Yes,Yes
338,OPERATIVE REPORT,Operative Procedure,Procedures performed,Yes,Yes
339,OPERATIVE REPORT,Operative Procedure,IMPRESSIONS,Yes,Yes
340,OPERATIVE REPORT,Operative Procedure,RECOMMENDATIONS,Yes,Yes
341,OPERATIVE REPORT,Operative Procedure,Diagnosis,Yes,Yes
342,OPERATIVE REPORT,Operative Procedure,ANESTHESIOLOGIST,Yes,Yes
343,OPERATIVE REPORT,Operative Procedure,Classification,Yes,Yes
344,OPERATIVE REPORT,Operative Procedure,Pre-ProcedureDiagnosis,Yes,Yes
345,OPERATIVE REPORT,Operative Procedure,Coronary Anatomy,Yes,Yes
346,OPERATIVE REPORT,Operative Procedure,Post Procedure Findings,Yes,Yes
347,OPERATIVE REPORT,Operative Procedure,INCISION,Yes,Yes
348,OPERATIVE REPORT,Operative Procedure,INDICATIONS FOR OPERATION,Yes,Yes
349,OPERATIVE REPORT,Operative Procedure,Physical Therapy Daily Note,Yes,Yes
350,OPERATIVE REPORT,Operative Procedure,FINDINGS AT SURGERY,Yes,Yes
351,OPERATIVE REPORT,Operative Procedure,ESTIMATED BLOOD LOS,Yes,Yes
352,OPERATIVE REPORT,Operative Procedure,Procedural details,Yes,Yes
353,OPERATIVE REPORT,Operative Procedure,Technique,Yes,Yes
354,OPERATIVE REPORT,Operative Procedure,Procedure Detail,Yes,Yes
355,OPERATIVE REPORT,Operative Procedure,Objective,Yes,Yes
356,OPERATIVE REPORT,Operative Procedure,Assessment and Plan,Yes,Yes
357,OPERATIVE REPORT,Operative Procedure,Technical Procedures Ilsted,Yes,Yes
358,OPERATIVE REPORT,Operative Procedure,Gross Description,Yes,Yes
359,OPERATIVE REPORT,Operative Procedure,Description of Procedure(,Yes,Yes
360,OPERATIVE REPORT,Operative Procedure,indications for the procedure,Yes,Yes
361,OPERATIVE REPORT,Operative Procedure,PREOPERATIVE DIAGNOSIS (ES),Yes,Yes
362,OPERATIVE REPORT,Operative Procedure,PROCEDURE (S) PERFORMED,Yes,Yes
363,OPERATIVE REPORT,Operative Procedure,POSTOPERATIVE DIAGNOSIS (ES),Yes,Yes
364,OPERATIVE REPORT,Operative Procedure,SPECIMEN (S),Yes,Yes
365,OPERATIVE REPORT,Operative Procedure,preoperative report,Yes,Yes
366,OPERATIVE REPORT,Operative Procedure,post operative report,Yes,Yes
367,OPERATIVE REPORT,Operative Procedure,Drains,Yes,Yes
